Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/api/senhas/api/gerar-senha,30034,30034,180.0,1724.99289370333,7.566047832369804,13242.266472429037,0.0,100.01489098343275,100.01489098343275,180,3000,3600,4000,5100,5800,6500,6700,7600,10000,13000
GET,/api/senhas/api/senhas,60104,60104,190.0,1752.4794916131204,7.740609347820282,13398.4948489815,0.0,200.14966396977567,200.14966396977567,190,3000,3600,4000,5100,5800,6500,6800,7900,10000,13000
,Aggregated,90138,90138,190.0,1743.3209515786957,7.566047832369804,13398.4948489815,0.0,300.16455495320844,300.16455495320844,190,3000,3600,4000,5100,5800,6500,6700,7800,10000,13000
